"Instructions: for each of the following Facebook image files (column A), complete the following questions using the provided annotation scheme.   ","Check the box corresponding to each question for a 'Yes' response, and leave the box unchecked for a 'No' response.",,,,
facebook_dataset_houses_Aja Brown_mobile1_159.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_mobile1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_time1_6.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_time1_7.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_time1_4.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_time1_13.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_mobile1_83.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Green_mobile1_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_619.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_556.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_652.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_496.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_438.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_666.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Al Lawson_time1_590.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_time1_20.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_time1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_mobile1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_time1_29.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_time1_28.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_mobile1_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan LaPolice_time1_21.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_36.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_31.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_32.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_39.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_38.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alan Lowenthal_time1_52.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_365.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_409.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_454.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_343.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_373.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_356.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Albio Sires _time1_340.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_time1_112.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_time1_121.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_time1_130.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_mobile2_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_time1_94.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_mobile2_87.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alcee Hastings_mobile2_122.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_time1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_time1_44.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_mobile1_51.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_time1_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_time1_68.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_mobile1_24.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alexandria Ocasio-Cortez_mobile1_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile2_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile2_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile1_48.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile2_69.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile1_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile2_53.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Allen Ellison_mobile1_77.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_227.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_219.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_154.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_159.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_353.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_209.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alma Adams_time1_137.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_time1_368.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_mobile1_371.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_mobile1_456.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_mobile1_128.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_mobile1_308.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_time1_322.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Alyse S. Galvin_mobile1_592.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_mobile2_114.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_time1_135.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_time1_192.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_time1_199.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_mobile2_211.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_time1_171.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ami Bera_time2_14.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_time1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_319.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_342.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_419.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_481.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_604.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ammar Campa-Najjar_mobile1_429.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_77.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_138.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_139.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_mobile1_45.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_82.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_132.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_senates_Amy Klobuchar_time1_108.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_59.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_297.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_243.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_85.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_55.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_74.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Amy McGrath_time1_94.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_77.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_96.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_120.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_mobile1_73.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_111.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_99.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andre Carson_time1_95.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time2_120.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time2_108.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time2_94.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time1_62.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time1_93.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_time1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Cuomo_mobile2_19.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_mobile1_33.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_72.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_67.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_49.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_57.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_89.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_govornor_Andrew Gillum_time1_58.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _mobile1_106.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_34.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_321.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_269.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_274.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_102.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Kim _time1_319.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_189.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_141.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_207.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_104.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _mobile2_182.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_16.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Andy Levin _time2_152.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_247.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_250.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_108.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_244.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_81.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_237.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anita Malik_time1_76.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_27.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_63.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_mobile1_525.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_58.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_70.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_65.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann Kirkpatrick_time1_19.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _mobile2_200.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _time1_343.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _mobile1_260.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _time1_322.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _mobile1_204.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _time1_395.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Ann McLane Kuster _time1_404.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time1_27.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time1_16.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time2_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time2_20.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time1_25.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anna Eshoo_time2_14.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_mobile1_188.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_time1_251.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_mobile1_129.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_time1_248.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_mobile1_224.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_time1_249.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brindisi_time1_44.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brown_time1_11.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brown_time1_12.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brown_time1_18.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Brown_time1_22.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_15.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_17.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_29.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_24.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_14.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_52.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Anthony Flaccavento_time1_42.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _mobile1_498.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_151.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_510.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_457.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_217.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_116.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Antonio Delgado _time1_117.png,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Archie Parnell_mobile1_180.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Archie Parnell_mobile1_376.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Archie Parnell_time1_30.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
facebook_dataset_houses_Archie Parnell_time1_23.jpg,FALSE,FALSE,FALSE,FALSE,FALSE
